Sample	Reads_number	Unique_best_hit	Mapping_efficiency	No_alignments	Total_Cs	Total_CsM_CpG	Total_CsM_CHG	Total_CsM_CHH	Total_CsM_UNKNOWN	Total_CsU_CpG	CsM_CpG	CsM_CHG	CsM_CHH	CsM_UNKNOWN
sampling_12451_426_trimmed.fastq	11461	6323	55.2%	2983	109127	6868	183	376	2	3095	68.9%	0.7%	0.5%	3.8%
sampling_12451_427_trimmed.fastq	11446	6317	55.2%	2943	108374	6711	202	447	2	3065	68.6%	0.7%	0.6%	3.6%
sampling_12451_428_trimmed.fastq	11462	6502	56.7%	2804	112949	7126	178	453	1	2946	70.8%	0.6%	0.6%	1.6%
sampling_12451_429_trimmed.fastq	11490	6420	55.9%	2944	110945	6910	155	440	2	3159	68.6%	0.5%	0.6%	3.5%
sampling_1245_142_trimmed.fastq	1135	625	55.1%	296	10958	717	11	43	0	310	69.8%	0.4%	0.6%	0.0%
sampling_12451_42_trimmed.fastq	11501	6487	56.4%	2908	110994	6874	179	443	2	3192	68.3%	0.6%	0.6%	3.6%
sampling_12451_430_trimmed.fastq	11540	6473	56.1%	2873	111164	6756	202	441	2	3009	69.2%	0.7%	0.6%	3.4%
sampling_12451_431_trimmed.fastq	11457	6365	55.6%	2936	109636	6907	188	438	1	2942	70.1%	0.7%	0.6%	2.0%
sampling_12451_432_trimmed.fastq	11494	6422	55.9%	2906	110896	7046	182	418	0	3099	69.5%	0.6%	0.6%	0.0%
sampling_12451_433_trimmed.fastq	11511	6481	56.3%	2915	111471	6998	197	432	1	3091	69.4%	0.7%	0.6%	1.6%
sampling_12451_434_trimmed.fastq	11477	6413	55.9%	2927	108810	6730	175	391	2	2937	69.6%	0.6%	0.5%	2.7%
sampling_12451_435_trimmed.fastq	11473	6356	55.4%	2963	109356	6793	188	415	2	3038	69.1%	0.7%	0.6%	4.3%
sampling_12451_436_trimmed.fastq	11436	6315	55.2%	2958	107791	6783	185	386	2	2986	69.4%	0.7%	0.5%	3.3%
sampling_12451_437_trimmed.fastq	11497	6380	55.5%	2999	110236	6992	210	416	2	2987	70.1%	0.7%	0.6%	3.6%
sampling_12451_438_trimmed.fastq	11511	6404	55.6%	2927	111103	6963	174	451	1	3201	68.5%	0.6%	0.6%	1.5%
sampling_12451_439_trimmed.fastq	11478	6477	56.4%	2890	111378	6874	202	398	1	3201	68.2%	0.7%	0.5%	1.8%
sampling_1245_143_trimmed.fastq	1138	672	59.1%	278	11688	674	11	40	1	349	65.9%	0.4%	0.5%	20.0%
sampling_12451_43_trimmed.fastq	11495	6331	55.1%	2999	109817	7041	182	430	2	3019	70.0%	0.7%	0.6%	3.6%
sampling_12451_440_trimmed.fastq	11540	6515	56.5%	2858	111581	7242	167	451	0	3031	70.5%	0.6%	0.6%	0.0%
sampling_12451_441_trimmed.fastq	11514	6488	56.3%	2911	112785	7031	202	451	0	3288	68.1%	0.7%	0.6%	0.0%
sampling_12451_442_trimmed.fastq	11491	6409	55.8%	2922	110663	6983	177	423	3	3113	69.2%	0.6%	0.6%	7.0%
sampling_12451_443_trimmed.fastq	11549	6453	55.9%	2890	110827	6936	199	411	1	3150	68.8%	0.7%	0.6%	2.1%
sampling_12451_444_trimmed.fastq	11486	6309	54.9%	2961	108041	6693	159	446	0	2704	71.2%	0.6%	0.6%	0.0%
sampling_12451_445_trimmed.fastq	11510	6459	56.1%	2927	111012	7110	179	415	2	2866	71.3%	0.6%	0.6%	3.4%
sampling_12451_446_trimmed.fastq	11482	6419	55.9%	2934	110206	6983	176	444	0	3111	69.2%	0.6%	0.6%	0.0%
sampling_12451_447_trimmed.fastq	11454	6397	55.8%	2979	109906	7043	166	451	1	2922	70.7%	0.6%	0.6%	2.3%
sampling_12451_448_trimmed.fastq	11495	6394	55.6%	2923	109981	6720	185	407	1	2999	69.1%	0.7%	0.6%	1.9%
sampling_12451_449_trimmed.fastq	11507	6429	55.9%	3011	111460	7071	200	422	1	3310	68.1%	0.7%	0.6%	1.7%
