"","Sample","Length","CpG_met","CpG_unmet","Sum"
"105","07_report/CpG_context_sampling_125_105_trimmed_bismark_bt2.CpG",45,34,11,45
"106","07_report/CpG_context_sampling_125_106_trimmed_bismark_bt2.CpG",40,31,9,40
"107","07_report/CpG_context_sampling_125_107_trimmed_bismark_bt2.CpG",47,34,13,47
"108","07_report/CpG_context_sampling_125_108_trimmed_bismark_bt2.CpG",50,42,8,50
"109","07_report/CpG_context_sampling_125_109_trimmed_bismark_bt2.CpG",47,36,11,47
"110","07_report/CpG_context_sampling_125_110_trimmed_bismark_bt2.CpG",55,45,10,55
"111","07_report/CpG_context_sampling_125_111_trimmed_bismark_bt2.CpG",47,33,14,47
"112","07_report/CpG_context_sampling_125_112_trimmed_bismark_bt2.CpG",43,29,14,43
"113","07_report/CpG_context_sampling_125_113_trimmed_bismark_bt2.CpG",39,30,9,39
"114","07_report/CpG_context_sampling_125_114_trimmed_bismark_bt2.CpG",42,33,9,42
"115","07_report/CpG_context_sampling_125_115_trimmed_bismark_bt2.CpG",44,33,11,44
"116","07_report/CpG_context_sampling_125_116_trimmed_bismark_bt2.CpG",40,30,10,40
"117","07_report/CpG_context_sampling_125_117_trimmed_bismark_bt2.CpG",38,25,13,38
"118","07_report/CpG_context_sampling_125_118_trimmed_bismark_bt2.CpG",49,39,10,49
"119","07_report/CpG_context_sampling_125_119_trimmed_bismark_bt2.CpG",36,29,7,36
"120","07_report/CpG_context_sampling_125_120_trimmed_bismark_bt2.CpG",30,23,7,30
"121","07_report/CpG_context_sampling_125_121_trimmed_bismark_bt2.CpG",39,31,8,39
"122","07_report/CpG_context_sampling_125_122_trimmed_bismark_bt2.CpG",52,32,20,52
"123","07_report/CpG_context_sampling_125_123_trimmed_bismark_bt2.CpG",43,30,13,43
"124","07_report/CpG_context_sampling_125_124_trimmed_bismark_bt2.CpG",38,28,10,38
"125","07_report/CpG_context_sampling_125_125_trimmed_bismark_bt2.CpG",39,25,14,39
"126","07_report/CpG_context_sampling_125_126_trimmed_bismark_bt2.CpG",41,31,10,41
"127","07_report/CpG_context_sampling_125_127_trimmed_bismark_bt2.CpG",40,25,15,40
"128","07_report/CpG_context_sampling_125_128_trimmed_bismark_bt2.CpG",32,22,10,32
"129","07_report/CpG_context_sampling_125_129_trimmed_bismark_bt2.CpG",44,30,14,44
"130","07_report/CpG_context_sampling_125_130_trimmed_bismark_bt2.CpG",36,24,12,36
"131","07_report/CpG_context_sampling_125_131_trimmed_bismark_bt2.CpG",45,32,13,45
"132","07_report/CpG_context_sampling_125_132_trimmed_bismark_bt2.CpG",40,30,10,40
"133","07_report/CpG_context_sampling_125_133_trimmed_bismark_bt2.CpG",46,33,13,46
"134","07_report/CpG_context_sampling_125_134_trimmed_bismark_bt2.CpG",36,29,7,36
"135","07_report/CpG_context_sampling_125_135_trimmed_bismark_bt2.CpG",44,28,16,44
"136","07_report/CpG_context_sampling_125_136_trimmed_bismark_bt2.CpG",49,35,14,49
"137","07_report/CpG_context_sampling_125_137_trimmed_bismark_bt2.CpG",45,30,15,45
"138","07_report/CpG_context_sampling_125_138_trimmed_bismark_bt2.CpG",51,35,16,51
"139","07_report/CpG_context_sampling_125_139_trimmed_bismark_bt2.CpG",50,36,14,50
"140","07_report/CpG_context_sampling_125_140_trimmed_bismark_bt2.CpG",44,33,11,44
"141","07_report/CpG_context_sampling_125_141_trimmed_bismark_bt2.CpG",52,38,14,52
"142","07_report/CpG_context_sampling_125_142_trimmed_bismark_bt2.CpG",41,29,12,41
"143","07_report/CpG_context_sampling_125_143_trimmed_bismark_bt2.CpG",43,27,16,43
"144","07_report/CpG_context_sampling_125_144_trimmed_bismark_bt2.CpG",42,32,10,42
"145","07_report/CpG_context_sampling_125_145_trimmed_bismark_bt2.CpG",45,30,15,45
"146","07_report/CpG_context_sampling_125_146_trimmed_bismark_bt2.CpG",43,29,14,43
"147","07_report/CpG_context_sampling_125_147_trimmed_bismark_bt2.CpG",44,36,8,44
"148","07_report/CpG_context_sampling_125_148_trimmed_bismark_bt2.CpG",47,31,16,47
"149","07_report/CpG_context_sampling_125_149_trimmed_bismark_bt2.CpG",54,29,25,54
"150","07_report/CpG_context_sampling_125_150_trimmed_bismark_bt2.CpG",36,23,13,36
"151","07_report/CpG_context_sampling_125_151_trimmed_bismark_bt2.CpG",43,24,19,43
"152","07_report/CpG_context_sampling_125_152_trimmed_bismark_bt2.CpG",42,34,8,42
"153","07_report/CpG_context_sampling_125_153_trimmed_bismark_bt2.CpG",45,34,11,45
"154","07_report/CpG_context_sampling_125_154_trimmed_bismark_bt2.CpG",49,29,20,49
"155","07_report/CpG_context_sampling_125_155_trimmed_bismark_bt2.CpG",46,32,14,46
"156","07_report/CpG_context_sampling_125_156_trimmed_bismark_bt2.CpG",46,30,16,46
"157","07_report/CpG_context_sampling_125_157_trimmed_bismark_bt2.CpG",47,36,11,47
