"","Sample","Length","CpG_met","CpG_unmet","Sum"
"181","07_report/CpG_context_sampling_135_181_trimmed_bismark_bt2.CpG",40,30,10,40
"182","07_report/CpG_context_sampling_135_182_trimmed_bismark_bt2.CpG",56,46,10,56
"183","07_report/CpG_context_sampling_135_183_trimmed_bismark_bt2.CpG",39,27,12,39
"184","07_report/CpG_context_sampling_135_184_trimmed_bismark_bt2.CpG",39,32,7,39
"185","07_report/CpG_context_sampling_135_185_trimmed_bismark_bt2.CpG",43,37,6,43
"186","07_report/CpG_context_sampling_135_186_trimmed_bismark_bt2.CpG",45,30,15,45
"187","07_report/CpG_context_sampling_135_187_trimmed_bismark_bt2.CpG",46,41,5,46
"188","07_report/CpG_context_sampling_135_188_trimmed_bismark_bt2.CpG",51,44,7,51
"189","07_report/CpG_context_sampling_135_189_trimmed_bismark_bt2.CpG",50,42,8,50
"190","07_report/CpG_context_sampling_135_190_trimmed_bismark_bt2.CpG",43,38,5,43
"191","07_report/CpG_context_sampling_135_191_trimmed_bismark_bt2.CpG",39,29,10,39
"192","07_report/CpG_context_sampling_135_192_trimmed_bismark_bt2.CpG",36,32,4,36
"193","07_report/CpG_context_sampling_135_193_trimmed_bismark_bt2.CpG",45,40,5,45
"194","07_report/CpG_context_sampling_135_194_trimmed_bismark_bt2.CpG",44,38,6,44
"195","07_report/CpG_context_sampling_135_195_trimmed_bismark_bt2.CpG",51,46,5,51
"196","07_report/CpG_context_sampling_135_196_trimmed_bismark_bt2.CpG",43,39,4,43
"197","07_report/CpG_context_sampling_135_197_trimmed_bismark_bt2.CpG",43,34,9,43
"198","07_report/CpG_context_sampling_135_198_trimmed_bismark_bt2.CpG",32,26,6,32
"199","07_report/CpG_context_sampling_135_199_trimmed_bismark_bt2.CpG",43,33,10,43
"200","07_report/CpG_context_sampling_135_200_trimmed_bismark_bt2.CpG",40,30,10,40
"201","07_report/CpG_context_sampling_135_201_trimmed_bismark_bt2.CpG",45,38,7,45
"202","07_report/CpG_context_sampling_135_202_trimmed_bismark_bt2.CpG",51,43,8,51
"203","07_report/CpG_context_sampling_135_203_trimmed_bismark_bt2.CpG",33,27,6,33
"204","07_report/CpG_context_sampling_135_204_trimmed_bismark_bt2.CpG",46,39,7,46
"205","07_report/CpG_context_sampling_135_205_trimmed_bismark_bt2.CpG",38,28,10,38
"206","07_report/CpG_context_sampling_135_206_trimmed_bismark_bt2.CpG",33,30,3,33
"207","07_report/CpG_context_sampling_135_207_trimmed_bismark_bt2.CpG",51,44,7,51
"208","07_report/CpG_context_sampling_135_208_trimmed_bismark_bt2.CpG",38,30,8,38
"209","07_report/CpG_context_sampling_135_209_trimmed_bismark_bt2.CpG",49,41,8,49
"210","07_report/CpG_context_sampling_135_210_trimmed_bismark_bt2.CpG",36,27,9,36
"211","07_report/CpG_context_sampling_135_211_trimmed_bismark_bt2.CpG",46,35,11,46
"212","07_report/CpG_context_sampling_135_212_trimmed_bismark_bt2.CpG",42,36,6,42
"213","07_report/CpG_context_sampling_135_213_trimmed_bismark_bt2.CpG",34,29,5,34
"214","07_report/CpG_context_sampling_135_214_trimmed_bismark_bt2.CpG",50,41,9,50
"215","07_report/CpG_context_sampling_135_215_trimmed_bismark_bt2.CpG",52,48,4,52
"216","07_report/CpG_context_sampling_135_216_trimmed_bismark_bt2.CpG",41,34,7,41
"217","07_report/CpG_context_sampling_135_217_trimmed_bismark_bt2.CpG",37,32,5,37
"218","07_report/CpG_context_sampling_135_218_trimmed_bismark_bt2.CpG",35,27,8,35
"219","07_report/CpG_context_sampling_135_219_trimmed_bismark_bt2.CpG",50,42,8,50
"220","07_report/CpG_context_sampling_135_220_trimmed_bismark_bt2.CpG",50,40,10,50
"221","07_report/CpG_context_sampling_135_221_trimmed_bismark_bt2.CpG",37,33,4,37
"222","07_report/CpG_context_sampling_135_222_trimmed_bismark_bt2.CpG",44,35,9,44
"223","07_report/CpG_context_sampling_135_223_trimmed_bismark_bt2.CpG",40,30,10,40
"224","07_report/CpG_context_sampling_135_224_trimmed_bismark_bt2.CpG",43,34,9,43
"225","07_report/CpG_context_sampling_135_225_trimmed_bismark_bt2.CpG",44,36,8,44
"226","07_report/CpG_context_sampling_135_226_trimmed_bismark_bt2.CpG",44,38,6,44
"227","07_report/CpG_context_sampling_135_227_trimmed_bismark_bt2.CpG",51,44,7,51
"228","07_report/CpG_context_sampling_135_228_trimmed_bismark_bt2.CpG",46,38,8,46
"229","07_report/CpG_context_sampling_135_229_trimmed_bismark_bt2.CpG",47,39,8,47
"230","07_report/CpG_context_sampling_135_230_trimmed_bismark_bt2.CpG",40,37,3,40
"231","07_report/CpG_context_sampling_135_231_trimmed_bismark_bt2.CpG",44,41,3,44
"232","07_report/CpG_context_sampling_135_232_trimmed_bismark_bt2.CpG",52,36,16,52
"233","07_report/CpG_context_sampling_135_233_trimmed_bismark_bt2.CpG",46,41,5,46
"234","07_report/CpG_context_sampling_135_234_trimmed_bismark_bt2.CpG",48,39,9,48
"235","07_report/CpG_context_sampling_135_235_trimmed_bismark_bt2.CpG",47,40,7,47
"236","07_report/CpG_context_sampling_135_236_trimmed_bismark_bt2.CpG",40,36,4,40
"237","07_report/CpG_context_sampling_135_237_trimmed_bismark_bt2.CpG",43,37,6,43
"238","07_report/CpG_context_sampling_135_238_trimmed_bismark_bt2.CpG",35,30,5,35
"239","07_report/CpG_context_sampling_135_239_trimmed_bismark_bt2.CpG",39,32,7,39
"240","07_report/CpG_context_sampling_135_240_trimmed_bismark_bt2.CpG",43,35,8,43
"241","07_report/CpG_context_sampling_135_241_trimmed_bismark_bt2.CpG",39,31,8,39
"242","07_report/CpG_context_sampling_135_242_trimmed_bismark_bt2.CpG",38,31,7,38
"243","07_report/CpG_context_sampling_135_243_trimmed_bismark_bt2.CpG",40,35,5,40
"244","07_report/CpG_context_sampling_135_244_trimmed_bismark_bt2.CpG",47,34,13,47
"245","07_report/CpG_context_sampling_135_245_trimmed_bismark_bt2.CpG",45,38,7,45
"246","07_report/CpG_context_sampling_135_246_trimmed_bismark_bt2.CpG",41,35,6,41
"247","07_report/CpG_context_sampling_135_247_trimmed_bismark_bt2.CpG",38,31,7,38
"248","07_report/CpG_context_sampling_135_248_trimmed_bismark_bt2.CpG",36,32,4,36
"249","07_report/CpG_context_sampling_135_249_trimmed_bismark_bt2.CpG",45,33,12,45
"250","07_report/CpG_context_sampling_135_250_trimmed_bismark_bt2.CpG",41,33,8,41
"251","07_report/CpG_context_sampling_135_251_trimmed_bismark_bt2.CpG",50,40,10,50
"252","07_report/CpG_context_sampling_135_252_trimmed_bismark_bt2.CpG",36,28,8,36
"253","07_report/CpG_context_sampling_135_253_trimmed_bismark_bt2.CpG",35,28,7,35
"254","07_report/CpG_context_sampling_135_254_trimmed_bismark_bt2.CpG",43,37,6,43
"255","07_report/CpG_context_sampling_135_255_trimmed_bismark_bt2.CpG",49,40,9,49
"256","07_report/CpG_context_sampling_135_256_trimmed_bismark_bt2.CpG",49,39,10,49
"257","07_report/CpG_context_sampling_135_257_trimmed_bismark_bt2.CpG",50,43,7,50
"258","07_report/CpG_context_sampling_135_258_trimmed_bismark_bt2.CpG",47,37,10,47
"259","07_report/CpG_context_sampling_135_259_trimmed_bismark_bt2.CpG",47,39,8,47
"260","07_report/CpG_context_sampling_135_260_trimmed_bismark_bt2.CpG",46,38,8,46
"261","07_report/CpG_context_sampling_135_261_trimmed_bismark_bt2.CpG",47,41,6,47
"262","07_report/CpG_context_sampling_135_262_trimmed_bismark_bt2.CpG",34,28,6,34
"263","07_report/CpG_context_sampling_135_263_trimmed_bismark_bt2.CpG",45,43,2,45
"264","07_report/CpG_context_sampling_135_264_trimmed_bismark_bt2.CpG",39,27,12,39
"265","07_report/CpG_context_sampling_135_265_trimmed_bismark_bt2.CpG",51,42,9,51
"266","07_report/CpG_context_sampling_135_266_trimmed_bismark_bt2.CpG",39,33,6,39
"267","07_report/CpG_context_sampling_135_267_trimmed_bismark_bt2.CpG",52,45,7,52
"268","07_report/CpG_context_sampling_135_268_trimmed_bismark_bt2.CpG",37,35,2,37
"269","07_report/CpG_context_sampling_135_269_trimmed_bismark_bt2.CpG",50,41,9,50
"270","07_report/CpG_context_sampling_135_270_trimmed_bismark_bt2.CpG",46,38,8,46
"271","07_report/CpG_context_sampling_135_271_trimmed_bismark_bt2.CpG",56,50,6,56
"272","07_report/CpG_context_sampling_135_272_trimmed_bismark_bt2.CpG",48,44,4,48
"273","07_report/CpG_context_sampling_135_273_trimmed_bismark_bt2.CpG",44,38,6,44
"274","07_report/CpG_context_sampling_135_274_trimmed_bismark_bt2.CpG",46,37,9,46
"275","07_report/CpG_context_sampling_135_275_trimmed_bismark_bt2.CpG",37,32,5,37
"276","07_report/CpG_context_sampling_135_276_trimmed_bismark_bt2.CpG",44,32,12,44
"277","07_report/CpG_context_sampling_135_277_trimmed_bismark_bt2.CpG",42,39,3,42
"278","07_report/CpG_context_sampling_135_278_trimmed_bismark_bt2.CpG",46,41,5,46
"279","07_report/CpG_context_sampling_135_279_trimmed_bismark_bt2.CpG",41,32,9,41
"280","07_report/CpG_context_sampling_135_280_trimmed_bismark_bt2.CpG",50,43,7,50
"281","07_report/CpG_context_sampling_135_281_trimmed_bismark_bt2.CpG",44,32,12,44
"282","07_report/CpG_context_sampling_135_282_trimmed_bismark_bt2.CpG",52,40,12,52
"283","07_report/CpG_context_sampling_135_283_trimmed_bismark_bt2.CpG",44,38,6,44
"284","07_report/CpG_context_sampling_135_284_trimmed_bismark_bt2.CpG",46,40,6,46
"285","07_report/CpG_context_sampling_135_285_trimmed_bismark_bt2.CpG",42,35,7,42
"286","07_report/CpG_context_sampling_135_286_trimmed_bismark_bt2.CpG",49,44,5,49
"287","07_report/CpG_context_sampling_135_287_trimmed_bismark_bt2.CpG",46,34,12,46
"288","07_report/CpG_context_sampling_135_288_trimmed_bismark_bt2.CpG",47,39,8,47
"289","07_report/CpG_context_sampling_135_289_trimmed_bismark_bt2.CpG",49,38,11,49
"290","07_report/CpG_context_sampling_135_290_trimmed_bismark_bt2.CpG",48,37,11,48
"291","07_report/CpG_context_sampling_135_291_trimmed_bismark_bt2.CpG",35,27,8,35
"292","07_report/CpG_context_sampling_135_292_trimmed_bismark_bt2.CpG",44,36,8,44
"293","07_report/CpG_context_sampling_135_293_trimmed_bismark_bt2.CpG",38,34,4,38
"294","07_report/CpG_context_sampling_135_294_trimmed_bismark_bt2.CpG",38,32,6,38
